name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Honda WR-V,2010,50594,177403,CNG,Individual,Manual,First Owner,22.28 kmpl,1078 CC,58.6 bhp,70Nm@ 2500rpm,6.0
Honda City,2018,218600,80647,Diesel,Dealer,Automatic,Second Owner,20.48 kmpl,1521 CC,105.3 bhp,141Nm@ 1500rpm,7.0
Hyundai i10,2012,101720,135824,Petrol,Individual,Automatic,First Owner,19.35 kmpl,1529 CC,76.9 bhp,103Nm@ 1500rpm,6.0
Ford Figo,2016,148722,55684,Diesel,Dealer,Manual,First Owner,22.99 kmpl,1257 CC,72.2 bhp,127Nm@ 2000rpm,7.0
Mahindra Bolero,2014,124213,110563,Petrol,Individual,Manual,First Owner,15.62 kmpl,1962 CC,125.9 bhp,199Nm@ 4000rpm,7.0
Mahindra Scorpio,2012,91530,123951,Diesel,Individual,Manual,First Owner,18.07 kmpl,1788 CC,92.8 bhp,117Nm@ 2200rpm,6.0
Maruti Wagon R,2013,73741,118078,Diesel,Individual,Automatic,First Owner,23.84 kmpl,1038 CC,73.9 bhp,132Nm@ 3000rpm,7.0
Honda Amaze,2008,63213,196443,Petrol,Individual,Automatic,Second Owner,18.66 kmpl,1425 CC,93.8 bhp,164Nm@ 2000rpm,5.0
Mahindra XUV300,2018,268145,66324,Petrol,Individual,Automatic,Second Owner,15.04 kmpl,1889 CC,117.1 bhp,192Nm@ 1750rpm,5.0
Toyota Glanza,2013,161065,123903,Petrol,Individual,Manual,First Owner,18.5 kmpl,1903 CC,107.6 bhp,169Nm@ 3000rpm,5.0
Hyundai i10,2017,178203,63467,Petrol,Individual,Manual,First Owner,19.24 kmpl,1753 CC,108.5 bhp,165Nm@ 2000rpm,7.0
Audi A4,2011,223850,146964,Petrol,Individual,Manual,First Owner,12.82 kmpl,2176 CC,,203Nm@ 3000rpm,7.0
Honda Amaze,2002,40000,247428,Diesel,Individual,Automatic,Third Owner,22.3 kmpl,1365 CC,81.5 bhp,124Nm@ 4000rpm,5.0
Honda WR-V,2015,159516,96273,Diesel,Individual,Manual,First Owner,18.54 kmpl,1926 CC,135.9 bhp,190Nm@ 2000rpm,5.0
Tata Nexon,2012,79328,152512,Diesel,Individual,Manual,Third Owner,,1323 CC,79.6 bhp,123Nm@ 3000rpm,5.0
Hyundai Verna,2019,266869,58033,Petrol,Dealer,Automatic,First Owner,16.38 kmpl,1914 CC,110.9 bhp,176Nm@ 1500rpm,7.0
Maruti Vitara Brezza,2014,111548,112019,Petrol,Dealer,Automatic,First Owner,18.03 kmpl,1398 CC,83.0 bhp,138Nm@ 3000rpm,8.0
Tata Nexon,2010,41217,157733,Petrol,Individual,Manual,Fourth & Above Owner,20.53 kmpl,1355 CC,99.4 bhp,158Nm@ 2000rpm,8.0
Maruti Swift,2015,100108,87835,Petrol,Dealer,Automatic,First Owner,19.7 kmpl,1471 CC,106.9 bhp,177Nm@ 3000rpm,4.0
Maruti Vitara Brezza,2012,67103,138678,Diesel,Individual,Manual,Second Owner,19.24 kmpl,1664 CC,113.1 bhp,190Nm@ 1750rpm,4.0
Renault Triber,2016,109791,96483,Petrol,Individual,Manual,First Owner,19.13 kmpl,1424 CC,82.6 bhp,118Nm@ 2000rpm,4.0
Volkswagen Vento,2019,292996,81570,Petrol,Individual,Automatic,First Owner,17.52 kmpl,1603 CC,96.9 bhp,130Nm@ 2200rpm,4.0
Maruti Ertiga,2020,201052,81477,Diesel,Dealer,Manual,First Owner,22.27 kmpl,1572 CC,95.6 bhp,138Nm@ 3000rpm,5.0
Ford EcoSport,2014,112302,116672,Diesel,Individual,Manual,Second Owner,21.31 kmpl,1509 CC,91.5 bhp,154Nm@ 1500rpm,7.0
